sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Divvy","5057",,2019-08-09 16:55:08 -0600,2019-08-09 07:52:12 -0600,2019-08-09 08:15:34 -0600,"HKWorkoutActivityTypeCycling",23.35753333171209,"min",,,,
"Divvy","5057",,2019-08-09 18:03:13 -0600,2019-08-09 16:55:37 -0600,2019-08-09 17:20:00 -0600,"HKWorkoutActivityTypeCycling",24.37656666437785,"min",,,,
"Divvy","5057",,2019-08-13 07:37:11 -0600,2019-08-12 07:57:15 -0600,2019-08-12 08:18:00 -0600,"HKWorkoutActivityTypeCycling",20.74240000247955,"min",,,,
"Divvy","5057",,2019-08-13 16:45:28 -0600,2019-08-13 07:37:43 -0600,2019-08-13 08:05:19 -0600,"HKWorkoutActivityTypeCycling",27.58436666329702,"min",,,,
"Divvy","5057",,2019-08-13 17:23:52 -0600,2019-08-13 16:45:53 -0600,2019-08-13 17:09:01 -0600,"HKWorkoutActivityTypeCycling",23.12126666704814,"min",,,,
"Divvy","5057",,2019-08-14 08:02:33 -0600,2019-08-14 06:50:29 -0600,2019-08-14 07:05:57 -0600,"HKWorkoutActivityTypeCycling",15.46820000012716,"min",,,,
"Divvy","5057",,2019-08-14 08:18:08 -0600,2019-08-14 08:02:51 -0600,2019-08-14 08:10:41 -0600,"HKWorkoutActivityTypeCycling",7.840716667970022,"min",,,,
"Divvy","5057",,2019-08-14 18:06:42 -0600,2019-08-14 14:57:26 -0600,2019-08-14 15:11:54 -0600,"HKWorkoutActivityTypeCycling",14.47048333088557,"min",,,,
"Divvy","5057",,2019-08-15 07:39:06 -0600,2019-08-14 18:07:52 -0600,2019-08-14 18:23:12 -0600,"HKWorkoutActivityTypeCycling",15.32745000123978,"min",,,,
"Divvy","5057",,2019-08-15 16:10:21 -0600,2019-08-15 07:39:27 -0600,2019-08-15 08:04:31 -0600,"HKWorkoutActivityTypeCycling",25.057299999396,"min",,,,
"Divvy","5057",,2019-08-16 07:28:15 -0600,2019-08-15 16:10:37 -0600,2019-08-15 16:35:54 -0600,"HKWorkoutActivityTypeCycling",25.27211666504542,"min",,,,
"Divvy","5057",,2019-08-16 07:53:48 -0600,2019-08-16 07:28:38 -0600,2019-08-16 07:47:32 -0600,"HKWorkoutActivityTypeCycling",18.90740000009537,"min",,,,
"Divvy","5057",,2019-08-19 08:23:31 -0600,2019-08-16 17:07:16 -0600,2019-08-16 17:30:42 -0600,"HKWorkoutActivityTypeCycling",23.44313333034516,"min",,,,
"Divvy","5057",,2019-08-19 13:49:52 -0600,2019-08-19 08:23:46 -0600,2019-08-19 08:46:45 -0600,"HKWorkoutActivityTypeCycling",22.9844833334287,"min",,,,
"Divvy","5057",,2019-08-20 07:13:26 -0600,2019-08-19 13:50:10 -0600,2019-08-19 14:09:23 -0600,"HKWorkoutActivityTypeCycling",19.22186666727066,"min",,,,
"Divvy","5057",,2019-08-20 07:31:58 -0600,2019-08-20 07:13:58 -0600,2019-08-20 07:31:02 -0600,"HKWorkoutActivityTypeCycling",17.07373333374659,"min",,,,
